iter	accept?	e	prior	jcoup_e	shift_e	p_a	iter_times
118	+	-130.867354	-0.001592	-48.396977	-39.072121	0.414708	2.429179s
119	+	-130.415048	-0.001576	-48.385985	-39.067800	1.000000	2.083563s
120	+	-130.508245	-0.001580	-48.367898	-39.066718	0.911013	2.068472s
121	+	-130.240907	-0.001571	-48.356606	-39.062214	1.000000	2.067149s
122	+	-129.442430	-0.001541	-48.361949	-39.067018	1.000000	2.060491s
123	-	-131.732691	-0.001626	-48.341941	-39.067696	0.101239	2.111715s
124	-	-130.662459	-0.001584	-48.400721	-39.069241	0.295219	2.099034s
125	+	-129.059049	-0.001526	-48.375905	-39.066882	1.000000	2.072021s
126	+	-128.535500	-0.001506	-48.396161	-39.065209	1.000000	2.297376s
127	+	-127.938359	-0.001485	-48.388066	-39.072661	1.000000	2.099144s
128	+	-126.706921	-0.001439	-48.403799	-39.064696	1.000000	2.079525s
129	-	-127.519204	-0.001468	-48.439939	-39.061131	0.443842	2.488174s
130	-	-129.658080	-0.001548	-48.375997	-39.068637	0.052278	2.317683s
131	+	-125.931734	-0.001411	-48.387991	-39.069216	1.000000	2.274785s
132	+	-125.411958	-0.001392	-48.373909	-39.077649	1.000000	2.305029s
133	+	-125.414270	-0.001393	-48.365287	-39.075736	0.997691	2.169437s
134	-	-127.162845	-0.001458	-48.345056	-39.071461	0.174020	2.145944s
135	+	-124.754657	-0.001368	-48.380269	-39.080903	1.000000	2.143069s
136	+	-125.085935	-0.001379	-48.404674	-39.072019	0.718004	2.170250s
137	+	-125.513981	-0.001395	-48.397864	-39.071483	0.651780	2.143384s
138	+	-125.855739	-0.001408	-48.379997	-39.076872	0.710518	2.149694s
139	+	-126.035769	-0.001414	-48.391323	-39.079577	0.835245	2.149324s
140	+	-125.913517	-0.001410	-48.382704	-39.078582	1.000000	2.138237s
141	+	-124.162865	-0.001345	-48.405941	-39.075552	1.000000	2.071287s
142	-	-125.142103	-0.001381	-48.405341	-39.075775	0.375594	2.055267s
143	+	-124.607606	-0.001361	-48.417076	-39.084528	0.640988	2.071773s
144	+	-124.828590	-0.001368	-48.440467	-39.076177	0.801728	2.053569s
145	+	-124.807256	-0.001368	-48.429780	-39.076659	1.000000	2.099804s
146	+	-125.059950	-0.001377	-48.421927	-39.089284	0.776703	2.289042s
147	+	-124.768124	-0.001366	-48.415790	-39.095872	1.000000	2.177528s
148	+	-124.385868	-0.001350	-48.463705	-39.101633	1.000000	2.075815s
149	+	-124.788769	-0.001366	-48.452811	-39.102634	0.668376	2.107532s
